Wine_Quality,Fixed_Acidity,Volatile_Acidity,Citric_Acidity,Residual_Sugar,Chlorides,Free_Sulphur_Dioxide,Total_Sulphur_Dioxide,Ph,Sulfate,Alcohol
5,7.8,0.6,0.26,2,0.08,31,131,3.21,0.52,9.9
5,12.5,0.38,0.6,2.6,0.081,31,72,3.1,0.73,10.5
6,13.7,0.42,0.68,2.9,0.085,17,43,3.06,0.8,10
6,4.7,0.6,0.17,2.3,0.058,17,106,3.85,0.6,12.9
5,7.5,0.42,0.32,2.7,0.067,7,25,3.24,0.44,10.4
5,6.9,0.58,0.01,1.9,0.08,40,54,3.4,0.73,9.7
6,8.2,0.59,0,2.5,0.093,19,58,3.5,0.65,9.3
6,6.5,0.53,0.06,2,0.063,29,44,3.38,0.83,10.3
6,7.2,0.38,0.3,1.8,0.073,31,70,3.42,0.59,9.5
6,5.2,0.49,0.26,2.3,0.09,23,74,3.71,0.62,12.2
6,8.7,0.69,0.31,3,0.086,23,81,3.48,0.74,11.6
5,8.5,0.46,0.59,1.4,0.414,16,45,3.03,1.34,9.2
5,6.9,0.77,0.02,2.3,0.063,35,63,3.57,0.78,9.9
5,6.8,0.59,0.1,1.7,0.063,34,53,3.41,0.67,9.7
5,8.8,0.4,0.4,2.2,0.079,19,52,3.44,0.64,9.2
5,6.2,0.46,0.29,2.1,0.074,32,98,3.33,0.62,9.8
6,7,0.36,0.21,2.3,0.086,20,65,3.4,0.54,10.1
5,9.8,0.45,0.38,2.5,0.081,34,66,3.15,0.58,9.8
6,8.1,0.55,0.18,1.9,0.08,13,35,3.3,0.59,9
6,9.8,0.5,0.49,2.6,0.25,5,20,3.31,0.79,10.7
6,6.9,0.54,0.3,2.2,0.088,9,105,3.25,1.18,10.5
5,10.8,0.5,0.46,2.5,0.073,5,27,3.05,0.64,9.5
6,9.3,0.78,0.27,2.8,0.078,24,56,3.31,0.67,10.6
6,7.6,0.36,0.31,1.7,0.079,26,65,3.46,0.62,9.5
5,8.4,0.29,0.4,1.7,0.067,8,20,3.39,0.6,10.5
6,7.4,0.49,0.27,2.1,0.071,14,25,3.35,0.63,12
5,7,0.42,0.19,2.3,0.071,18,36,3.39,0.56,10.9
5,6.6,0.71,0.07,1.6,0.076,6,15,3.44,0.58,10.7
6,11.9,0.39,0.69,2.8,0.095,17,35,3.1,0.61,10.8
6,10,0.56,0.24,2.2,0.079,19,58,3.18,0.56,10.1
5,9.6,0.41,0.37,2.3,0.091,10,23,3.24,0.56,10.5
6,7.7,0.53,0.06,1.7,0.074,9,39,3.35,0.48,9.8
6,10.6,0.44,0.68,4.1,0.114,6,24,3.06,0.66,13.4
6,10.9,0.32,0.52,1.8,0.132,17,44,3.28,0.77,11.5
6,6,0.58,0.2,2.4,0.075,15,50,3.58,0.67,12.5
5,15.6,0.65,0.49,4.2,0.095,10,23,2.92,0.74,11.1
5,6.3,0.57,0.28,2.1,0.048,13,49,3.41,0.6,12.8
7,11.5,0.54,0.71,4.4,0.124,6,15,3.01,0.83,11.8
5,7.2,0.73,0.05,4.7,0.086,4,11,3.41,0.39,10.9
6,11.1,0.45,0.73,3.2,0.066,6,22,3.17,0.66,11.2
5,7,0.62,0.1,1.4,0.071,27,63,3.28,0.61,9.2
6,7.2,0.35,0.26,1.8,0.083,33,75,3.4,0.58,9.5
5,8.4,0.56,0.04,2,0.082,10,22,3.22,0.44,9.6
6,6.3,0.36,0.19,3.2,0.075,15,39,3.56,0.52,12.7
6,6.8,0.51,0.01,2.1,0.074,9,25,3.33,0.56,9.5
5,7.7,0.6,0,2.6,0.055,7,13,3.38,0.56,10.8
6,10.8,0.47,0.43,2.1,0.171,27,66,3.17,0.76,10.8
5,7.3,0.59,0.18,2.4,0.078,15,60,3.31,0.54,9.8
5,6.1,0.64,0.02,2.4,0.069,26,46,3.47,0.45,11
7,11.6,0.41,0.54,1.5,0.095,22,41,3.02,0.76,9.9
5,9.4,0.59,0.14,2,0.084,25,48,3.14,0.56,9.7
7,7.9,0.3,0.68,8.3,0.05,38,289,3.01,0.51,12.3
6,5,0.74,0,1.2,0.041,16,46,4.01,0.59,12.5
6,8,0.33,0.53,2.5,0.091,18,80,3.37,0.8,9.6
7,8.3,0.31,0.39,2.4,0.078,17,43,3.31,0.77,12.5
6,9.5,0.78,0.22,1.9,0.077,6,32,3.26,0.56,10.6
7,9.5,0.39,0.41,8.9,0.069,18,39,3.29,0.81,10.9
4,6.5,0.67,0,4.3,0.057,11,20,3.45,0.56,11.8
7,9.4,0.41,0.48,4.6,0.072,10,20,3.34,0.79,12.2
6,7.2,0.5,0.18,2.1,0.071,12,31,3.52,0.72,9.6
5,6.3,0.39,0.08,1.7,0.066,3,20,3.34,0.58,9.4
6,11.8,0.38,0.55,2.1,0.071,5,19,3.11,0.62,10.8
6,8.8,0.3,0.38,2.3,0.06,19,72,3.39,0.72,11.8
6,6.3,0.55,0.15,1.8,0.077,26,35,3.32,0.82,11.6
6,9,0.4,0.41,2,0.058,15,40,3.22,0.6,12.2
7,8.9,0.38,0.4,2.2,0.068,12,28,3.27,0.75,12.6
6,11.5,0.18,0.51,4,0.104,4,23,3.28,0.97,10.1
5,10,0.73,0.43,2.3,0.059,15,31,3.15,0.57,11
5,6.2,0.65,0.06,1.6,0.05,6,18,3.57,0.54,12
7,11.8,0.33,0.49,3.4,0.093,54,80,3.3,0.76,10.7
5,7.2,0.7,0.13,2,0.076,12,20,3.29,0.54,10.1
5,10.2,0.42,0.57,3.4,0.07,4,10,3.04,0.63,9.6
6,7,0.69,0.08,1.8,0.097,22,89,3.34,0.54,9.2
6,7.1,0.75,0.01,2.2,0.059,11,18,3.39,0.4,12.8
6,8.6,0.32,0.4,2.2,0.079,3,6,3.27,0.67,11.9
6,10.6,0.34,0.49,3.2,0.078,20,78,3.19,0.7,10
6,8.1,0.53,0.22,2.2,0.078,33,89,3.26,0.46,9.6
5,10.4,0.28,0.54,2.7,0.105,5,19,3.25,0.63,9.5
4,4.6,0.52,0.15,2.1,0.054,8,65,3.9,0.56,13.1
6,7.5,0.57,0.08,2.6,0.089,14,27,3.3,0.59,10.4
7,6.7,0.28,0.28,2.4,0.012,36,100,3.26,0.39,11.7
6,7.9,0.77,0,2,0.084,9,22,3.33,0.68,10.9
4,5.6,0.62,0.03,1.5,0.08,6,13,3.66,0.62,10.1
6,6.3,0.68,0.01,3.7,0.103,32,54,3.51,0.66,11.3
5,6.9,0.63,0.02,1.9,0.078,18,30,3.4,0.75,9.8
7,11.7,0.28,0.47,1.7,0.054,17,32,3.15,0.67,10.6
5,6.9,0.4,0.24,2.5,0.083,30,45,3.26,0.58,10
6,8.1,0.72,0.09,2.8,0.084,18,49,3.43,0.72,11.1
6,7.2,0.34,0.21,2.5,0.075,41,68,3.37,0.54,10.1
6,6.2,0.7,0.15,5.1,0.076,13,27,3.54,0.6,11.9
6,7.7,0.61,0.18,2.4,0.083,6,20,3.29,0.6,10.2
5,7.7,0.97,0.1,2.1,0.112,11,22,3.26,0.5,9.5
5,10.6,1.03,0.43,2.8,0.08,21,84,3.06,0.57,10.1
5,9.9,0.57,0.25,2,0.104,12,89,3.04,0.9,10.1
5,9,0.6,0.29,2,0.069,32,73,3.34,0.57,10
6,14,0.41,0.63,3.8,0.089,6,47,3.01,0.81,10.8
4,7.6,0.68,0.02,1.3,0.072,9,20,3.17,1.08,9.2
7,10.5,0.24,0.42,1.8,0.077,6,22,3.21,1.05,10.8
6,7.3,0.67,0.02,2.2,0.072,31,92,3.32,0.68,11.1
5,8.7,0.46,0.31,2.5,0.126,24,64,3.1,0.74,9.6
6,7.1,0.59,0,2.2,0.078,26,44,3.42,0.68,10.8
6,7,0.69,0.07,2.5,0.091,15,21,3.38,0.6,11.3
5,8.6,0.55,0.09,3.3,0.068,8,17,3.23,0.44,10
5,6.4,0.64,0.21,1.8,0.081,14,31,3.59,0.66,9.8
3,7.4,1.19,0,4.3,0.097,5,14,3.63,0.54,10.7
6,6.8,0.6,0.18,1.9,0.079,18,86,3.59,0.57,9.3
6,6.7,0.46,0.24,1.7,0.077,18,34,3.39,0.6,10.6
3,6.7,0.76,0.02,1.8,0.078,6,12,3.55,0.63,10
5,12.2,0.45,0.49,1.4,0.075,3,6,3.13,0.63,10.4
5,7.3,0.74,0.08,1.7,0.094,10,45,3.24,0.5,9.8
7,10.1,0.43,0.4,2.6,0.092,13,52,3.22,0.64,10
6,10.9,0.53,0.49,4.6,0.118,10,17,3.07,0.56,11.7
7,13.3,0.29,0.75,2.8,0.084,23,43,3.04,0.68,11.4
5,6.9,0.55,0.15,2.2,0.076,19,40,3.41,0.59,10.1
6,5.4,0.74,0.09,1.7,0.089,16,26,3.67,0.56,11.6
6,8.1,0.83,0.24,2.1,0.084,5,13,3.37,0.77,10.7
6,8,0.3,0.63,1.6,0.081,16,29,3.3,0.78,10.8
4,7.9,0.89,0.03,1.8,0.058,4,8,3.36,0.33,9.1
6,6.3,0.76,0,2.9,0.072,26,52,3.51,0.6,11.5
6,8.6,0.53,0.22,2,0.1,7,27,3.2,0.56,10.2
7,7.3,0.55,0.01,1.8,0.093,9,15,3.35,0.58,11
6,8.7,0.42,0.45,2.4,0.072,32,59,3.33,0.77,12
6,7.3,0.31,0.39,1.2,0.059,7,11,3.29,0.52,11.5
6,7.4,0.49,0.27,2.1,0.071,14,25,3.35,0.63,12
5,9.3,0.41,0.39,2.2,0.064,12,31,3.26,0.65,10.2
6,11.5,0.59,0.59,2.6,0.087,13,49,3.18,0.65,11
5,8.4,0.6,0.1,2.2,0.085,14,111,3.15,0.66,9.8
6,7,0.43,0.3,2,0.085,6,39,3.33,0.46,11.9
5,9.3,0.4,0.49,2.5,0.085,38,142,3.22,0.55,9.4
6,6.6,0.86,0.02,2.4,0.062,15,23,3.54,0.6,11
6,8.2,0.4,0.44,2.8,0.089,11,43,3.53,0.61,10.5
5,9,0.47,0.31,2.7,0.084,24,125,3.31,0.61,9.4
6,11.9,0.4,0.65,2.2,0.068,7,27,3.06,0.68,11.3
6,7.1,0.16,0.44,2.5,0.068,17,31,3.35,0.54,12.4
6,6.9,0.54,0.04,3,0.077,7,27,3.69,0.91,9.4
7,7.7,0.28,0.3,2,0.062,18,34,3.28,0.9,11.3
7,7.3,0.65,0,1.2,0.065,15,21,3.39,0.47,10
5,7.7,0.69,0.05,2.7,0.075,15,27,3.26,0.61,9.1
6,7,0.43,0.36,1.6,0.089,14,37,3.34,0.56,9.2
5,8.6,0.47,0.27,2.3,0.055,14,28,3.18,0.8,11.2
5,10,0.32,0.59,2.2,0.077,3,15,3.2,0.78,9.6
7,10.2,0.44,0.42,2,0.071,7,20,3.14,0.79,11.1
7,7.3,0.48,0.32,2.1,0.062,31,54,3.3,0.65,10
6,6.6,0.39,0.49,1.7,0.07,23,149,3.12,0.5,11.5
5,6.9,0.56,0.03,1.5,0.086,36,46,3.53,0.57,10.6
7,7.5,0.43,0.3,2.2,0.062,6,12,3.44,0.72,11.5
5,10,0.29,0.4,2.9,0.098,10,26,3.48,0.91,9.7
7,11.9,0.7,0.53,3.4,0.128,7,21,3.17,0.84,12.2
5,7.3,0.37,0.49,2.5,0.088,39,106,3.36,0.78,11
6,13.2,0.46,0.52,2.2,0.071,12,35,3.1,0.56,9
5,8.1,0.38,0.48,1.8,0.157,5,17,3.3,1.05,9.4
6,8,0.42,0.17,2,0.073,6,18,3.29,0.61,9.2
5,6.4,0.4,0.23,1.6,0.066,5,12,3.34,0.56,9.2
5,8.7,0.78,0.51,1.7,0.415,12,66,3,1.17,9.2
8,7.2,0.38,0.31,2,0.056,15,29,3.23,0.76,11.3
5,5.3,0.72,0.19,1.5,0.161,7,62,3.62,0.61,11
5,7,0.49,0.49,5.6,0.06,26,121,3.34,0.76,10.5
5,8.3,0.54,0.24,3.4,0.076,16,112,3.27,0.61,9.4
6,13,0.47,0.49,4.3,0.085,6,47,3.3,0.68,12.7
6,13.4,0.27,0.62,2.6,0.082,6,21,3.16,0.67,9.7
6,8.8,0.55,0.04,2.2,0.119,14,56,3.21,0.6,10.9
6,13.8,0.49,0.67,3,0.093,6,15,3.02,0.93,12
5,7.7,0.84,0,2.6,0.081,6,14,3.3,0.52,9.3
7,7.2,0.48,0.07,5.5,0.089,10,18,3.37,0.68,11.2
6,6.9,0.61,0.12,10.7,0.073,40,83,3.45,0.52,9.4
5,7.6,0.49,0.33,1.9,0.074,27,85,3.41,0.58,9
5,8.1,0.56,0.28,1.7,0.368,16,56,3.11,1.28,9.3
5,8.8,0.61,0.14,2.4,0.067,10,42,3.19,0.59,9.5
6,8.8,0.61,0.19,4,0.094,30,69,3.22,0.5,10
6,7.5,0.71,0,1.6,0.092,22,31,3.38,0.58,10
5,9,0.48,0.32,2.8,0.084,21,122,3.32,0.62,9.4
5,7.7,0.39,0.12,1.7,0.097,19,27,3.16,0.49,9.4
6,11.6,0.48,0.4,1.4,0.091,6,28,3.07,0.65,10
6,8,0.72,0.22,2.3,0.075,13,81,3.24,0.54,9.5
5,6.8,0.67,0,1.9,0.08,22,39,3.4,0.74,9.7
6,6.2,0.44,0.39,2.5,0.077,6,14,3.51,0.69,11
5,11.3,0.37,0.41,2.3,0.088,6,16,3.09,0.8,9.3
5,7.7,1.01,0.15,2.1,0.102,11,32,3.23,0.48,10
8,7.9,0.35,0.46,3.6,0.078,15,37,3.35,0.86,12.8
6,6.4,0.67,0.08,2.1,0.045,19,48,3.49,0.49,11.4
6,7.4,0.79,0.19,5.2,0.094,19,98,3.16,0.52,9.6
5,7.4,0.61,0.01,2,0.074,13,38,3.48,0.65,9.8
6,8.2,0.2,0.43,2.5,0.076,31,51,3.53,0.81,10.4
6,6.9,0.77,0.18,2.4,0.243,6,48,3.4,0.6,10.3
6,7.9,0.32,0.51,1.8,0.341,17,56,3.04,1.08,9.2
6,7.8,0.65,0,5.5,0.086,5,18,3.4,0.55,9.6
5,9.9,0.35,0.55,2.1,0.062,5,14,3.26,0.79,10.6
7,15,0.21,0.44,2.2,0.075,10,24,3.07,0.84,9.2
6,9.7,0.42,0.46,2.1,0.074,5,16,3.27,0.74,12.3
6,6.3,0.51,0.13,2.3,0.076,29,40,3.42,0.75,11
6,10.8,0.32,0.44,1.6,0.063,16,37,3.22,0.78,10
5,7.2,0.41,0.3,2.1,0.083,35,72,3.44,0.52,9.4
6,7.9,0.29,0.49,2.2,0.096,21,59,3.31,0.67,10.1
7,10.5,0.26,0.47,1.9,0.078,6,24,3.18,1.04,10.9
5,7.4,0.53,0.26,2,0.101,16,72,3.15,0.57,9.4
6,7.1,0.6,0.01,2.3,0.079,24,37,3.4,0.61,10.9
4,8.8,0.96,0.05,1.8,0.075,5,19,3.3,0.44,9.6
5,7.7,0.94,0.43,2.2,0.114,22,114,3.25,0.73,9.2
6,8.6,0.49,0.28,1.9,0.11,20,136,2.93,1.95,9.9
5,6.7,0.54,0.13,2,0.076,15,36,3.61,0.64,9.8
5,5.6,0.66,0,2.5,0.066,7,15,3.52,0.58,12.9
6,8.6,0.49,0.28,1.9,0.11,20,136,2.93,1.95,9.9
7,8.3,0.31,0.39,2.4,0.078,17,43,3.31,0.77,12.5
8,5.6,0.85,0.05,1.4,0.045,12,88,3.56,0.82,12.9
5,6.3,0.39,0.16,1.4,0.08,11,23,3.34,0.56,9.3
6,7.3,0.66,0,2,0.084,6,23,3.61,0.96,9.9
5,5.6,0.61,0.05,2.4,0.073,19,25,3.56,0.55,12.9
4,10.5,0.59,0.49,2.1,0.07,14,47,3.3,0.56,9.6
6,13.2,0.46,0.52,2.2,0.071,12,35,3.1,0.56,9
7,7.2,0.37,0.32,2,0.062,15,28,3.23,0.73,11.3
7,7.6,0.74,0.02,2.5,0.071,10,14,3.51,0.71,11.7
6,8.7,0.69,0.31,3,0.086,23,81,3.48,0.74,11.6
6,7,0.43,0.02,1.9,0.08,15,28,3.35,0.81,10.6
6,7.9,0.4,0.29,1.8,0.157,1,44,3.3,0.92,9.5
8,7.2,0.33,0.33,1.7,0.061,3,13,3.23,1.1,10
6,11.5,0.32,0.54,2.1,0.084,5,15,2.98,0.7,9.2
6,6.8,0.67,0.15,1.8,0.118,13,20,3.42,0.67,11.3
4,6.7,1.04,0.08,2.3,0.067,19,32,3.52,0.57,11
7,7.1,0.66,0,2.4,0.052,6,11,3.35,0.66,12.7
6,7.3,0.51,0.18,2.1,0.07,12,28,3.52,0.73,9.5
5,6.6,0.63,0,4.3,0.093,51,78,3.2,0.45,9.5
6,10.4,0.52,0.45,2,0.08,6,13,3.22,0.76,11.4
6,6.8,0.56,0.22,1.8,0.074,15,24,3.4,0.82,11.2
5,6.5,0.46,0.14,2.4,0.114,9,37,3.66,0.65,9.8
4,7,0.98,0.04,2,0.087,12,67,3.35,0.6,9.4
5,7.5,0.73,0.04,1.5,0.076,8,15,3.26,0.53,9.6
5,12.5,0.46,0.63,2,0.071,6,15,2.99,0.87,10.2
5,7.8,0.41,0.68,1.7,0.467,18,69,3.08,1.31,9.3
5,7.8,0.87,0.26,3.8,0.107,31,67,3.26,0.46,9.2
5,11.6,0.42,0.53,3.3,0.105,33,98,3.2,0.95,9.2
5,7.6,0.65,0.03,1.9,0.086,14,57,3.37,0.46,10.3
7,5.3,0.47,0.11,2.2,0.048,16,89,3.54,0.88,13.6
7,7.9,0.3,0.68,8.3,0.05,38,278,3.01,0.51,12.3
5,7.8,0.7,0.06,1.9,0.079,20,35,3.4,0.69,10.9
